,SYMBOL,COMPANY,REGULATION,NAME OF THE ACQUIRER/DISPOSER,CATEGORY OF PERSON,TYPE OF SECURITY (PRIOR),NO. OF SECURITY (PRIOR),% SHAREHOLDING (PRIOR),TYPE OF SECURITY (ACQUIRED/DISPLOSED),NO. OF SECURITIES (ACQUIRED/DISPLOSED),VALUE OF SECURITY (ACQUIRED/DISPLOSED),ACQUISITION/DISPOSAL TRANSACTION TYPE,TYPE OF SECURITY (POST),NO. OF SECURITY (POST),% POST,DATE OF ALLOTMENT/ACQUISITION FROM,DATE OF ALLOTMENT/ACQUISITION TO,DATE OF INITMATION TO COMPANY,MODE OF ACQUISITION,DERIVATIVE TYPE SECURITY,DERIVATIVE CONTRACT SPECIFICATION,NOTIONAL VALUE(BUY),NUMBER OF UNITS/CONTRACT LOT SIZE (BUY),NOTIONAL VALUE(SELL),NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL),EXCHANGE,REMARK,BROADCASTE DATE AND TIME,XBRL
3728,EMAMILTD,Emami Limited,7(2),SUNTRACK COMMERCE PRIVATE LIMITED,Promoter Group,Equity Shares,49134107,11.05,,1000000,351300000,Pledge Revoke,Equity Shares,49134107,11.05,30-Sep-2020,30-Sep-2020,30-Sep-2020,Revokation of Pledge,-,-,0,0,0,0,,-,05-Oct-2020 18:11,https://archives.nseindia.com/corporate/xbrl/IT_1081560_326797_05102020061131_WEB.xml
3729,EMAMILTD,Emami Limited,7(2),DIWAKAR VINIYOG PRIVATE LIMITED,Promoter Group,Equity Shares,49533849,11.14,,350000,122972500,Pledge Revoke,Equity Shares,49533849,11.14,29-Sep-2020,29-Sep-2020,01-Oct-2020,Revokation of Pledge,-,-,0,0,0,0,,-,05-Oct-2020 18:11,https://archives.nseindia.com/corporate/xbrl/IT_1081560_326797_05102020061131_WEB.xml
3730,PKTEA,The Peria Karamalai Tea & Produce Company Limited,7(2),PLACID LIMITED,Promoter Group,Equity Shares,722435,23.34,,11776,2489729,Buy,Equity Shares,734211,23.72,30-Sep-2020,30-Sep-2020,05-Oct-2020,Market Purchase,-,-,0,0,0,0,NSE,-,05-Oct-2020 18:09,https://archives.nseindia.com/corporate/xbrl/IT_1081558_326792_05102020060923_WEB.xml
3731,VSTTILLERS,V.S.T Tillers Tractors Limited,7(2),AMRITHA V M WARD,Promoters,Equity Shares,4330,0.05,,10000,0,Buy,Equity Shares,14330,0.17,29-Sep-2020,29-Sep-2020,01-Oct-2020,Inter-se-Transfer,-,-,0,0,0,0,,-,05-Oct-2020 17:43,https://archives.nseindia.com/corporate/xbrl/IT_1081557_326772_05102020054347_WEB.xml
3732,VSTTILLERS,V.S.T Tillers Tractors Limited,7(2),V P Mahendra,Promoters,Equity Shares,638901,7.4,,10906,0,Sell,Equity Shares,627995,7.27,29-Sep-2020,29-Sep-2020,01-Oct-2020,Inter-se-Transfer,-,-,0,0,0,0,,-,05-Oct-2020 17:43,https://archives.nseindia.com/corporate/xbrl/IT_1081557_326772_05102020054347_WEB.xml
3733,VSTTILLERS,V.S.T Tillers Tractors Limited,7(2),V M VISHNU,Promoters,Equity Shares,15150,0.18,,906,0,Buy,Equity Shares,16056,0.19,29-Sep-2020,29-Sep-2020,01-Oct-2020,Inter-se-Transfer,-,-,0,0,0,0,,-,05-Oct-2020 17:43,https://archives.nseindia.com/corporate/xbrl/IT_1081557_326772_05102020054347_WEB.xml
3734,KCP,KCP Limited,7(2),SUBBARAO VALLABHANENI,Promoter Group,Equity Shares,101130,0.07,,15000,898796,Buy,Equity Shares,116130,0.09,29-Sep-2020,30-Sep-2020,05-Oct-2020,Market Purchase,-,-,0,0,0,0,BSE,-,05-Oct-2020 17:26,https://archives.nseindia.com/corporate/xbrl/IT_1081555_326747_05102020052633_WEB.xml
3735,YESBANK,Yes Bank Limited,7(2),RAKESH ARORA,Employees/Designated Employees,Equity Shares,829000,0.0,,600000,8094000,Buy,Equity Shares,1429000,0.01,28-Sep-2020,28-Sep-2020,03-Oct-2020,Market Purchase,-,-,0,0,0,0,NSE,-,05-Oct-2020 17:24,https://archives.nseindia.com/corporate/xbrl/IT_1081553_326743_05102020052422_WEB.xml
3736,YESBANK,Yes Bank Limited,7(2),RIA ARORA,Immediate relative,Equity Shares,Nil,0.0,,15000,180000,Buy,Equity Shares,15000,0.0,24-Jul-2020,24-Jul-2020,03-Oct-2020,Others,-,-,0,0,0,0,,-,05-Oct-2020 17:24,https://archives.nseindia.com/corporate/xbrl/IT_1081553_326743_05102020052422_WEB.xml
3737,YESBANK,Yes Bank Limited,7(2),SONIA ARORA,Immediate relative,Equity Shares,Nil,0.0,,15000,180000,Buy,Equity Shares,15000,0.0,24-Jul-2020,24-Jul-2020,03-Oct-2020,Others,-,-,0,0,0,0,,-,05-Oct-2020 17:24,https://archives.nseindia.com/corporate/xbrl/IT_1081553_326743_05102020052422_WEB.xml
3738,YESBANK,Yes Bank Limited,7(2),RAKESH ARORA,Employees/Designated Employees,Equity Shares,789000,0.0,,40000,440000,Buy,Equity Shares,829000,0.0,24-Jul-2020,24-Jul-2020,03-Oct-2020,Others,-,-,0,0,0,0,,-,05-Oct-2020 17:24,https://archives.nseindia.com/corporate/xbrl/IT_1081553_326743_05102020052422_WEB.xml
3739,YESBANK,Yes Bank Limited,7(2),RAKESH ARORA,Employees/Designated Employees,Equity Shares,1429000,0.01,,150000,2010000,Buy,Equity Shares,1579000,0.01,29-Sep-2020,29-Sep-2020,03-Oct-2020,Market Purchase,-,-,0,0,0,0,NSE,-,05-Oct-2020 17:24,https://archives.nseindia.com/corporate/xbrl/IT_1081553_326743_05102020052422_WEB.xml
3740,HILTON,Hilton Metal Forging Limited,7(2),Yuvraj Hiralal Malhotra,Promoters,Equity Shares,5688959,45.72,,1500,14580,Buy,Equity Shares,5690459,45.73,28-Sep-2020,28-Sep-2020,29-Sep-2020,Market Purchase,-,-,0,0,0,0,NSE,-,05-Oct-2020 16:58,https://archives.nseindia.com/corporate/xbrl/IT_1081549_326709_05102020045837_WEB.xml
3741,HILTON,Hilton Metal Forging Limited,7(2),Yuvraj Hiralal Malhotra,Promoters,Equity Shares,5690459,45.73,,6500,66300,Buy,Equity Shares,5696959,45.78,29-Sep-2020,29-Sep-2020,29-Sep-2020,Market Purchase,-,-,0,0,0,0,NSE,-,05-Oct-2020 16:58,https://archives.nseindia.com/corporate/xbrl/IT_1081549_326709_05102020045837_WEB.xml
3742,SURANASOL,Surana Solar Limited,7(2),Shresha Surana,Promoters,Equity Shares,516675,1.05,,20000,137030,Buy,Equity Shares,536675,1.09,28-Sep-2020,29-Sep-2020,30-Sep-2020,Market Purchase,-,-,0,0,0,0,NSE,-,05-Oct-2020 16:54,https://archives.nseindia.com/corporate/xbrl/IT_1081547_326700_05102020045404_WEB.xml
